RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1848,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4018,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1439,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2380,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2304,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3759,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2556,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2274,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2766,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2574,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
7572,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2951,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2093,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4084,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2610,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3207,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2861,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2526,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2829,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2836,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2482,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2519,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2173,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2483,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2029,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2152,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1920,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2862,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1713,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3916,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2196,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2075,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1977,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
15170,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2534,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
