RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5467,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4133,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8775,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9501,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
11078,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5642,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8404,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4589,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9462,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6774,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5496,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6205,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
12348,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8983,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4771,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4602,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7205,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
10635,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5196,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
15967,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
3794,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6228,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4345,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4838,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4961,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5650,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5276,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
file,isFamiliar,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_M_Russell_Howard(10).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_Tony_Blair.png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_F_Julie_Walters(20).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_Sajid_Javid(4).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_Gordon_Brown(19).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_jeremy_corbyn(2).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_david_camer(14).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_keir_starmer(6).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_F_Jennifer_Saunders.png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_M_Ewan_McGregor(3).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_M_Peter_Kay(3).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_F_Sarah_Millican(1).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_M_Jimmy_Carr(5).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_Michael_Gove(9).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_F_Theresa_May(3).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_F_Dawn_Roma(4).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_M_nigel_farage(5).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_M_Simon_Pegg(8).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
P_F_nicola_sturge(10).png,1,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
E_M_Michael_McIntyr(8).png,0,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
age: 34,gender: Male,handedness: right,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
