RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
7919,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
1879,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2757,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2389,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5307,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3629,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2257,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
11054,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3733,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4070,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2618,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2835,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3299,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2240,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2134,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2327,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
1932,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2167,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5085,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2073,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
6221,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3156,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2277,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2189,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2274,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
1650,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
18609,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2413,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3423,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3754,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
11135,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2912,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
