RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
6329,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4046,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3157,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4102,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3464,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4001,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4563,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3610,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3731,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5237,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3291,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2166,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4082,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2080,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2541,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3688,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5554,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2351,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2504,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5093,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3616,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2553,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2112,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3789,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
