RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2490,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1697,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2301,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1868,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
5356,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4661,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1959,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1973,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2427,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4206,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2913,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1648,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1495,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2091,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
9017,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1717,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1867,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2713,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3651,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2195,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2391,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1713,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2384,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1828,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3396,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3364,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
