RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2714,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3418,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2323,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2827,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2571,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2986,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2497,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2358,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2865,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2071,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2745,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
8641,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4427,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2195,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
1925,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
6964,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2437,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
1681,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2249,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
