RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3330,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2370,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2957,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2119,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2357,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2655,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2543,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2143,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3488,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4815,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4736,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
