RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2063,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1983,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2326,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1671,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1744,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1742,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2347,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2384,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3479,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2607,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1751,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1870,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1857,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2855,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2095,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3585,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2127,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2879,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3022,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2075,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1690,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1900,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2690,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3023,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2034,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3921,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1840,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1695,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3186,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1839,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
