RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2657,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3415,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3662,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4092,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2605,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3480,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
5140,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2194,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
7270,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3883,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2239,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3014,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4902,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2453,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2987,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2834,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3964,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3849,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2115,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3028,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2461,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2733,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3753,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3164,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4162,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3269,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3278,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2483,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4999,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2208,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2334,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4007,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2748,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2946,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
6985,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3306,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2234,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3168,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3151,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3115,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3739,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4587,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4016,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2687,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
