"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"3160","E_F_shiri.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_shiri.png P_M_buji.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2210","E_M_yuda.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"E_M_yuda.png P_M_buji.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"3010","E_F_ninet.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_ninet.png P_M_buji.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"1648","E_M_liorA.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_liorA.png P_F_michaeli.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"4913","E_F_galit_gutman.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",2,"E_F_galit_gutman.png E_M_ido.png",-1.62350330955462,"25","Female","right","5e36f7aacb3c09689999f612"
"1914","E_F_galit_gutman.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_galit_gutman.png E_M_yuda.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1960","E_M_asi.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_asi.png P_M_saar.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2182","E_F_galit_gutman.png","E_F_shiri.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"E_F_galit_gutman.png E_F_shiri.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1843","E_F_ninet.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_ninet.png P_M_benet.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1694","E_F_ilanit.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_ilanit.png E_M_ido.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1248","E_F_ilanit.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_ilanit.png P_M_smut.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2028","E_M_liorA.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",2,"E_M_liorA.png E_M_yuda.png",-1.62350330955462,"25","Female","right","5e36f7aacb3c09689999f612"
"2527","E_M_asi.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"E_M_asi.png P_M_gantz.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1680","E_F_shiri.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_shiri.png P_F_michaeli.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2193","E_F_ilanit.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_ilanit.png P_M_saar.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1926","E_F_ilanit.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_ilanit.png P_F_michaeli.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"244779","E_F_rotem_sela.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_rotem_sela.png P_M_buji.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"1547","P_F_michaeli.png","P_F_regev.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",4,"P_F_michaeli.png P_F_regev.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2093","E_M_liorA.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"E_M_liorA.png P_M_gantz.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1945","E_F_galit_gutman.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_galit_gutman.png P_F_staiv.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2429","E_F_rotem_sela.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_rotem_sela.png P_M_gantz.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2131","P_F_michaeli.png","P_M_gantz.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",4,"P_F_michaeli.png P_M_gantz.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1245","P_M_benet.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"P_M_benet.png P_M_smut.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"38847","P_M_gantz.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"P_M_gantz.png P_M_benet.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1816","E_F_ilanit.png","E_F_ninet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"E_F_ilanit.png E_F_ninet.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1460","E_M_asi.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",3,"E_M_asi.png E_M_yuda.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1394","E_M_asi.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_asi.png P_M_smut.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
