RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1968,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2119,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2374,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1445,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1968,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1151,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1487,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
3384,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2687,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2670,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1368,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1294,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2367,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1770,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
3405,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2159,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
