RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
9487,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3833,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5967,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3005,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4336,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5867,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4164,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8201,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4816,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5049,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4003,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5415,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4764,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
