RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1962,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4438,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2340,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2596,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1051,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2776,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1777,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1227,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1769,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
721,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2001,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
907,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2115,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2639,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1242,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1980,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1669,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1557,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
