RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5384,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3132,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
13267,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4684,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7893,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
13834,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4584,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2970,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
8342,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5118,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4200,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6198,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3221,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9115,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
