RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
E_katorza2-250x341.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_zamir.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Entertainment_har_lev.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
E_guri2-250x310.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Entertainment_Ivri2.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Entertainment_mushonov.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_yehimovitz.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_peretz.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_shaked.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_benet.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Entertainment_shani.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_michaeliM.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Entertainment_shimi.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Entertainment_rita.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
Politics_lapid.jpg,0,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
