RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2709,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2847,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3117,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
9055,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3564,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2897,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4589,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5968,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6292,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4058,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3618,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3976,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5550,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
8837,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4826,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3663,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
