RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4665,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
9234,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
18246,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5607,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
14725,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5332,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5136,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1633,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4896,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5020,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2111,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2763,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6090,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2852,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
14523,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6906,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6106,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3015,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3519,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5980,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5342,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
10193,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6083,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6414,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2368,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2171,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3140,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
