RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2449,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2332,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3092,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
11063,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2184,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3428,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3366,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
6051,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2568,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4314,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3627,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
5966,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2924,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3193,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2325,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
8298,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
16844,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
5323,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3754,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2424,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4723,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4382,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2351,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2180,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3746,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3369,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2218,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
1969,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2901,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2027,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
5086,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
