RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2905,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2815,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2796,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4076,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
5871,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3820,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2763,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
7042,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2837,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3518,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2975,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2430,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3063,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2814,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2837,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4985,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2846,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3186,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
7587,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4039,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
5330,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3358,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2912,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3183,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4974,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2998,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3658,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2262,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3462,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4764,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2561,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3976,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3846,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2853,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3379,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2639,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2259,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2575,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2715,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3057,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
