RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2597,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2298,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2282,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1959,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2134,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2372,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1835,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1807,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2385,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1898,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2003,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2843,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2590,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1925,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2638,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3447,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2801,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2488,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
