RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4103,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4042,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4722,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3885,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4058,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3476,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3555,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6213,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3571,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5050,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5801,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3462,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4555,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5881,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5471,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5007,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4626,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3576,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5143,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6103,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3498,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4400,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6528,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4036,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3519,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4116,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4137,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3999,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3692,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4499,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4131,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4486,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4311,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4568,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4122,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4081,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4603,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
file,isFamiliar,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_F_Kate_Winslet.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_F_Judi_Dench.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_F_tehresy_may.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_F_nicola_sturgeon.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_M_Hugh_Grant.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_M_tom_hankes.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_F_hillary_clinton.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_M_boris_johnson.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_F_angelina_jolie.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_M_david_cameron.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_F_jennifer_aniston.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_M_george_Wbush.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_M_donald_trump.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_M_Tony_Blair.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_F_keira_knightley.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_M_michael_caine.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
P_M_bill_clinton.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_F_sandra_bullock.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_M_nicolas_cage.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
E_M_robert_de_niro.png,0,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
age: 34,gender: Female,handedness: right,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
