RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2347,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1678,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1956,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1559,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3520,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2202,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1731,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1921,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5178,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1964,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3421,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3552,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3064,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3033,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
