RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2335,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2031,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
5896,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2344,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1904,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2040,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1547,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2541,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2114,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2717,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4434,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3460,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3913,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
