RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3227,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2469,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2678,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2167,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3679,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
6589,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1892,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2561,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3168,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3049,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2475,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2172,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1976,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2004,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3270,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2380,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2117,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4225,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2527,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2189,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
