RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4206,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3026,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3339,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3398,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
5107,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3501,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4366,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4776,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3145,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
6142,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3654,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2610,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3941,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
6596,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2755,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4551,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2835,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
5122,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3306,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4225,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3390,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4005,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2388,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2429,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2252,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3493,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3869,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4942,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3422,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
8908,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
8940,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2707,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3236,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2643,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4686,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4674,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3052,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
5492,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3169,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2178,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3159,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3884,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3905,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3930,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3679,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2374,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
13317,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4746,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2612,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2807,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3835,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
