RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2690,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
6429,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2156,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2320,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1930,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1340,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1986,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1359,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1464,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2388,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2758,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2281,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2572,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
