RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4274,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4563,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
16544,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5487,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5875,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3808,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4307,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5488,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3843,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4897,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4977,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
8243,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5529,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7614,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
8231,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
9954,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7790,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
14421,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5528,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7035,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5580,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6935,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3332,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4697,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6823,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5354,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4075,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5891,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
13386,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
