RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2465,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3635,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3566,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3464,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2796,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3376,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3854,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2816,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4485,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3087,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3066,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2984,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4005,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2567,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2734,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3984,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2874,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4123,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2664,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3934,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4382,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4654,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2765,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3095,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3366,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
6761,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3964,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3816,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2716,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3097,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4032,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
