RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3896,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2733,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2523,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3654,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4136,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4148,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4567,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4989,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5769,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5301,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4232,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
