RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611e8d845591266e61439488,"07/06/2022, 17:14:40"
5062,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3032,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3925,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3490,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3233,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3610,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2358,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2078,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2791,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2876,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2550,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
5496,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2203,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1923,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2546,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2136,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3719,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2885,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2520,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2182,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3145,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3112,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2127,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
5822,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2041,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
