RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3379,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
4288,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3673,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3367,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
15904,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2566,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2265,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
4624,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2721,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2159,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3532,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2636,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2566,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2492,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2194,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3970,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
8225,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2015,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1869,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
7709,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2822,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
