RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
47930,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2975,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
8134,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
17336,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
21794,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
9234,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
11231,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4145,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3839,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6753,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
