RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3140,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4431,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2649,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3230,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2717,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5222,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3982,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3695,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3047,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2975,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4150,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2775,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3326,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4269,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2447,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3300,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4999,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3236,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4071,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2887,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3025,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4154,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2811,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3278,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
8183,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3230,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5757,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3766,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3831,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3495,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2384,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
20137,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3943,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5448,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3098,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3567,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4156,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3295,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2190,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2287,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2816,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2922,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2621,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
