RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2178,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1958,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1598,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
5833,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1843,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2788,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3716,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2020,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3149,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4506,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1675,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3200,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3589,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1507,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1839,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2146,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
