RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4035,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
63179,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2311,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1690,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2372,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5601,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1778,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4274,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2496,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4538,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
8639,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
