RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1559,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1895,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1494,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2158,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2494,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1055,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2990,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2735,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1839,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1789,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3238,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1775,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1711,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1502,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3142,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2014,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1775,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1965,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2190,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1718,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1735,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3046,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1846,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3039,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1887,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3135,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
8439,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1839,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2327,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2487,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1239,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1815,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1935,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1647,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2286,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2718,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2135,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3951,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
