RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2005,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2841,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2507,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1835,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1992,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3417,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2372,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2588,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2083,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2860,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1608,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2717,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3020,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2089,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2186,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1595,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1918,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
5509,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2808,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
4668,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
4050,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2695,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2864,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2334,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2359,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2827,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2525,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2077,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3024,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2613,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3212,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1940,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2534,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2000,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1794,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2049,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2034,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3023,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2290,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2595,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
