RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2763,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3269,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
file,isFamiliar,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_peretz.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_mushonov.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_benet.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_michaeliM.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_yehimovitz.jpg,0,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_shani.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_ornaBanai.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
E_katorza2-250x341.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_HassonShaher.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
E_guri2-250x310.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_Ivri2.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_shimi.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_har_lev.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_liberman2.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_smootch.jpg,0,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_lapid.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_zamir.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Politics_shaked.jpg,0,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_yanai.jpg,0,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
Entertainment_rita.jpg,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
age: 24,gender: M,handedness: right,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
