RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3877,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4591,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2945,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3098,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3590,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
9146,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3746,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
5860,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4134,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4858,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2484,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2792,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
