RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3854,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3234,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3820,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4923,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
8285,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
8162,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3174,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
13115,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3737,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2812,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
