RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2800,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4329,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2460,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4060,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4476,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7689,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4826,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4268,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2576,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4740,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2643,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2827,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4188,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2903,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
