RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
1884,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3396,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5941,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4344,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3730,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2185,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3115,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3775,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3625,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3544,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5727,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2628,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
1959,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
1853,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4900,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2420,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3162,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4716,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3773,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5361,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2952,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4360,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2122,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
