RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2296,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
12693,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2517,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
6055,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4326,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4072,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1763,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2197,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3629,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3452,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3111,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2557,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2522,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3957,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4384,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3848,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3934,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3183,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
18473,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
9571,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
8080,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4300,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2506,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2412,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2053,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
9668,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3653,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2010,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3050,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2004,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
9007,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
14868,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4619,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2514,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4418,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2434,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
file,isFamiliar,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
Entertainment_Ivri2.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
Politics_lapid.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
E_katorza2-250x341.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
Politics_benet.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
Politics_shaked.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
Entertainment_yanai.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
E_guri2-250x310.jpg,1,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
