RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2210,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2955,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
4929,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3097,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3074,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
1922,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2880,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3229,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2767,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2960,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2789,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2540,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3285,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2808,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2040,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
1985,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3559,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3268,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2226,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2293,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3776,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3063,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2377,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2385,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
4781,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2283,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
1499,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
