RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2331,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2633,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2547,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2096,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2298,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1532,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2149,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3147,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
12862,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2459,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
