RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4962,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3082,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4761,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3952,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3481,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3621,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3532,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3047,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3958,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3072,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3241,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4692,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2980,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3122,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
7961,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3311,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
