RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2755,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4582,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3821,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7435,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2941,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4496,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7905,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4401,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7523,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2972,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
