RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1793,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
6490,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1863,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
file,isFamiliar,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_M_Jimmy_Carr(5).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_F_Sarah_Millican(1).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_Tony_Blair.png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_M_Michael_McIntyr(8).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_Gordon_Brown(19).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_nigel_farage(5).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_F_Jennifer_Saunders.png,0,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_Michael_Gove(9).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_F_Julie_Walters(20).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_M_Ewan_McGregor(3).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_F_Theresa_May(3).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_david_camer(14).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_M_Simon_Pegg(8).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_M_Peter_Kay(3).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_jeremy_corbyn(2).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_M_Russell_Howard(10).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_F_nicola_sturge(10).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_keir_starmer(6).png,0,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
P_M_Sajid_Javid(4).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
E_F_Dawn_Roma(4).png,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
age: 29,gender: Female,handedness: left,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
