RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3333,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3421,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3674,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4407,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3055,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4522,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
5364,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2313,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2775,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3419,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2819,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
5724,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3548,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4776,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4972,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4377,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2708,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3384,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2997,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
5913,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
5284,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
7015,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3859,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
