RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2560,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2027,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1588,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1533,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
5022,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4499,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2758,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3485,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4459,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2519,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2404,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2987,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
5040,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
7949,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2115,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2420,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3100,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2764,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
