RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
7260,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2998,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1927,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2349,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2001,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1479,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1961,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2924,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2352,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
7844,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
10354,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1973,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4038,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2426,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
23545,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3401,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3050,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4246,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2185,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2359,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2365,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
