RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1495,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2431,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1971,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2883,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1739,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1827,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2167,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1479,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2351,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2478,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1983,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2167,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1655,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1844,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2070,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1838,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1791,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
