RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1663,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1264,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1959,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1203,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1535,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1638,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1600,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1414,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2329,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2105,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2172,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3487,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2309,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2007,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1748,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1429,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2077,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2093,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2047,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2797,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2653,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
