RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
33066,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2796,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
1516,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2033,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2722,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2299,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2349,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2722,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2128,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3069,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2815,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3210,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2785,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
17173,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2884,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2398,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2876,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3602,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3899,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3581,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
8562,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2532,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3742,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2903,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3943,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
