"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"3977","P_M_bill_clinton.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_bill_clinton.jpg P_M_david_cameron.jpg",-1.21152011065061,"31","Female","right"
"2361","E_F_Kate_Winslet.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Kate_Winslet.jpg P_M_boris_johnson.jpg",0.790121811293876,"31","Female","right"
"2339","E_F_sandra_bullock.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_sandra_bullock.jpg E_M_robert_de_niro.jpg",0.790121811293876,"31","Female","right"
"2069","E_M_robert_de_niro.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_robert_de_niro.jpg P_F_tehresy_may.jpg",0.790121811293876,"31","Female","right"
"2148","E_F_Kate_Winslet.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Kate_Winslet.jpg E_M_tom_hankes.jpg",0.790121811293876,"31","Female","right"
"2577","E_F_jennifer_aniston.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg P_F_nicola_sturgeon.jpg",-0.544306136669115,"31","Female","right"
"2566","E_F_keira_knightley.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg E_F_sandra_bullock.jpg",-1.21152011065061,"31","Female","right"
"6750","E_M_Hugh_Grant.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_Hugh_Grant.jpg P_M_boris_johnson.jpg",-0.544306136669115,"31","Female","right"
"2982","E_F_jennifer_aniston.jpg","E_M_Hugh_Grant.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg E_M_Hugh_Grant.jpg",0.790121811293876,"31","Female","right"
"14558","E_F_Judi_Dench.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Judi_Dench.jpg P_F_hillary_clinton.jpg",-1.21152011065061,"31","Female","right"
"10270","E_F_Kate_Winslet.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Kate_Winslet.jpg P_M_bill_clinton.jpg",0.790121811293876,"31","Female","right"
