RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2415,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2970,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2402,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2109,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1671,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2401,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1835,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2227,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1913,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1681,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2050,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2734,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2080,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
