RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3234,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1715,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2024,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1726,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1965,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3313,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1741,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1899,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2353,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1905,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1571,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1659,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2239,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2118,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2122,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2487,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
file,isFamiliar,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_Sajid_Javid.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_M_Ewan_McGregor.png,0,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_Gordon_Brown.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_M_Russell_Howard.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_M_Peter_Kay.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_Michael_Gove.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_keir_starmer.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_M_Michael_McIntyr.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_david_camer.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_M_Jimmy_Carr.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_M_Simon_Pegg.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_Tony_Blair.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_F_Julie_Walters.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_F_nicola_sturge.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_nigel_farage.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_F_Dawn_Roma_French.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_M_jeremy_corbyn.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_F_Sarah_Millican.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
P_F_Theresa_May.png,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
E_F_Jennifer_Saunders.png,0,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
age: 28,gender: Female,handedness: right,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
