RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2134,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3170,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2640,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2826,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1824,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2405,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3270,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2318,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3423,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2068,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1883,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2221,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2538,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1632,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2487,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3062,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2177,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2242,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4055,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1857,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4395,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2894,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1664,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
