RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1761,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1655,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1827,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1891,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1499,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2793,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1622,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1569,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1959,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1847,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1706,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1841,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2114,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1998,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1870,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1890,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1918,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2791,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1789,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1981,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
