RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4264,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2636,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4035,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
7169,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
40633,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2249,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2646,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1670,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2223,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1918,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6305,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1948,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2322,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1965,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3760,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2197,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2487,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
111803,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5961,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3022,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2602,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3549,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
7282,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
