RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2893,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2709,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2778,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3748,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2591,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2570,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2463,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2572,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4117,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2889,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3706,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2480,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3240,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3029,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2538,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2663,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3025,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
1867,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
