RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1397,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1432,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1412,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1411,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2876,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2758,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2052,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1537,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2941,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1681,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1865,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1895,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2262,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1619,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1757,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2106,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2044,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1620,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2852,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1612,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
8326,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2006,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
5076,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2360,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
4571,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
7399,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
4654,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2369,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3001,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2611,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
4068,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
4120,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1902,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1677,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1638,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1545,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
