RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2216,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3859,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2684,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2674,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1963,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2087,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
6526,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2950,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1993,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2591,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2875,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2298,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3367,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2604,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2107,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2367,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2741,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3765,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3118,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2188,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3893,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3597,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2743,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2575,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2365,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2472,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4076,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3271,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1948,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
5137,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2083,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3228,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2194,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1774,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2066,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
