RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1424,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1547,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1804,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2013,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2704,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1743,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2207,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1893,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1682,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1433,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1846,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2557,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1749,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2633,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1360,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
4095,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2580,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1406,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2013,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1687,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1663,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2303,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1390,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1892,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2378,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1946,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1455,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1556,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2110,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2535,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1583,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3567,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1845,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1804,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2734,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2211,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3177,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
